email;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
michaelramirez@carpenter.com;Male;40;White;Married-civ-spouse;Doctorate;United-States;Private;Prof-specialty;>50K
theodore28@gmail.com;Female;54;Black;Separated;HS-grad;United-States;Private;Other-service;<=50K
henry55@vincent.com;Male;35;Black;Married-civ-spouse;9th;United-States;Federal-gov;Farming-fishing;<=50K
william26@hotmail.com;Male;43;White;Married-civ-spouse;11th;United-States;Private;Transport-moving;<=50K
latoya44@hotmail.com;Female;59;White;Divorced;HS-grad;United-States;Private;Tech-support;<=50K
henrygraves@madden-mejia.com;Male;56;White;Married-civ-spouse;Bachelors;United-States;Local-gov;Tech-support;>50K
tbradley@gmail.com;Male;19;White;Never-married;HS-grad;United-States;Private;Craft-repair;<=50K
alewis@rowland-petersen.com;Male;39;White;Divorced;HS-grad;United-States;Private;Exec-managerial;<=50K
angela88@gmail.com;Male;49;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
andrew96@gutierrez.com;Male;23;White;Never-married;Assoc-acdm;United-States;Local-gov;Protective-serv;<=50K
hartmansarah@dudley.org;Male;20;Black;Never-married;Some-college;United-States;Private;Sales;<=50K
todd55@hotmail.com;Male;45;White;Divorced;Bachelors;United-States;Private;Exec-managerial;<=50K
yolanda53@scott.org;Male;30;White;Married-civ-spouse;Some-college;United-States;Federal-gov;Adm-clerical;<=50K
reyestracey@gmail.com;Male;22;Black;Married-civ-spouse;Some-college;United-States;State-gov;Other-service;<=50K
cbest@gmail.com;Male;48;White;Never-married;11th;Puerto-Rico;Private;Machine-op-inspct;<=50K
williamsjeffrey@gmail.com;Male;21;White;Never-married;Some-college;United-States;Private;Machine-op-inspct;<=50K
brookeabbott@hotmail.com;Female;19;White;Married-AF-spouse;HS-grad;United-States;Private;Adm-clerical;<=50K
perezaaron@krueger.com;Male;48;White;Married-civ-spouse;Assoc-acdm;United-States;Self-emp-not-inc;Prof-specialty;<=50K
ethan52@hotmail.com;Male;31;White;Married-civ-spouse;9th;United-States;Private;Machine-op-inspct;<=50K
burnettsamantha@yahoo.com;Male;53;White;Married-civ-spouse;Bachelors;United-States;Self-emp-not-inc;Prof-specialty;<=50K
ryan72@yahoo.com;Male;24;White;Married-civ-spouse;Bachelors;United-States;Private;Tech-support;<=50K
johnsonlogan@smith.org;Female;49;White;Separated;HS-grad;United-States;Private;Adm-clerical;<=50K
cooleykeith@hotmail.com;Male;25;White;Never-married;HS-grad;United-States;Private;Handlers-cleaners;<=50K
dianasnow@ramirez.com;Male;57;Black;Married-civ-spouse;Bachelors;United-States;Federal-gov;Prof-specialty;>50K
jameslawson@meyer.org;Male;53;White;Married-civ-spouse;HS-grad;United-States;Private;Machine-op-inspct;<=50K
gilmoredaniel@bonilla.info;Female;44;White;Divorced;Masters;United-States;Private;Exec-managerial;<=50K
fordjennifer@palmer.net;Male;41;White;Married-civ-spouse;Assoc-voc;United-States;State-gov;Craft-repair;<=50K
tonya10@yahoo.com;Male;29;White;Never-married;Assoc-voc;United-States;Private;Prof-specialty;<=50K
brittanybenjamin@hotmail.com;Female;25;Other;Married-civ-spouse;Some-college;United-States;Private;Exec-managerial;<=50K
gomezpatricia@guzman.com;Female;47;White;Married-civ-spouse;Prof-school;Honduras;Private;Prof-specialty;>50K
boothjay@yahoo.com;Male;50;White;Divorced;Bachelors;United-States;Federal-gov;Exec-managerial;>50K
gharvey@yahoo.com;Male;47;White;Divorced;HS-grad;United-States;Self-emp-inc;Exec-managerial;<=50K
ryanyates@hotmail.com;Male;43;White;Married-civ-spouse;Some-college;United-States;Private;Tech-support;>50K
kennethatkinson@gonzalez.com;Male;46;White;Married-civ-spouse;5th-6th;Mexico;Private;Machine-op-inspct;<=50K
robinsonallen@parks-koch.com;Male;35;White;Married-civ-spouse;Assoc-voc;Puerto-Rico;Private;Other-service;<=50K
barbara01@yahoo.com;Male;41;White;Married-civ-spouse;HS-grad;United-States;Private;Adm-clerical;<=50K
michael15@alvarado-martinez.biz;Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Machine-op-inspct;<=50K
richardsmith@bryant.com;Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Sales;<=50K
catherinetorres@price.biz;Male;48;White;Married-civ-spouse;HS-grad;United-States;Private;Transport-moving;<=50K
howardbutler@tran-anderson.info;Male;42;White;Married-civ-spouse;Doctorate;United-States;Private;Prof-specialty;>50K
jharding@yahoo.com;Male;29;White;Divorced;Some-college;United-States;Private;Tech-support;<=50K
nelsonjennifer@frazier-reynolds.com;Male;36;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
neilmathis@gmail.com;Female;28;White;Divorced;Some-college;United-States;Private;Adm-clerical;<=50K
ssingleton@gonzalez.biz;Female;53;White;Married-civ-spouse;HS-grad;United-States;Private;Adm-clerical;>50K
zgonzalez@ross-christian.com;Male;49;White;Married-civ-spouse;Some-college;United-States;Self-emp-inc;Exec-managerial;>50K
andrew95@gmail.com;Male;19;White;Never-married;Some-college;United-States;Private;Prof-specialty;<=50K
ethan01@gmail.com;Female;31;Black;Separated;Bachelors;United-States;Private;Sales;<=50K
jennifer63@yahoo.com;Male;29;White;Married-civ-spouse;Bachelors;United-States;Self-emp-not-inc;Sales;>50K
taylorjoseph@jimenez.com;Male;23;White;Never-married;Some-college;United-States;Private;Machine-op-inspct;<=50K
millernathaniel@yahoo.com;Male;79;White;Married-civ-spouse;Some-college;United-States;Private;Prof-specialty;<=50K
clarkekari@jackson.org;Male;27;White;Never-married;HS-grad;Mexico;Private;Other-service;<=50K
vsmith@yahoo.com;Male;40;White;Married-civ-spouse;Assoc-acdm;United-States;Private;Adm-clerical;<=50K
jgarrett@williams.info;Female;18;White;Never-married;11th;United-States;Private;Other-service;<=50K
mejiaalexis@hudson.net;Male;31;White;Married-civ-spouse;7th-8th;United-States;Local-gov;Farming-fishing;<=50K
cole89@gmail.com;Male;18;White;Never-married;HS-grad;United-States;Private;Sales;<=50K
nmartinez@hotmail.com;Male;52;White;Married-civ-spouse;Bachelors;Cuba;Private;Other-service;<=50K
michelle78@yahoo.com;Female;46;White;Married-civ-spouse;HS-grad;United-States;Private;Other-service;<=50K
pagemichelle@gmail.com;Male;59;White;Married-civ-spouse;HS-grad;United-States;Private;Sales;<=50K
klove@yahoo.com;Female;44;White;Divorced;HS-grad;United-States;Private;Craft-repair;>50K
meganparker@sanders-valenzuela.org;Female;53;White;Divorced;HS-grad;United-States;Private;Sales;<=50K
trevor87@hotmail.com;Male;49;White;Married-civ-spouse;HS-grad;United-States;Local-gov;Protective-serv;>50K
williambrewer@stone-kaiser.info;Male;33;White;Married-civ-spouse;Masters;United-States;Private;Prof-specialty;<=50K
phillipsdarren@yahoo.com;Male;30;White;Never-married;9th;United-States;Private;Sales;<=50K
jennifer34@green.org;Female;43;White;Never-married;Doctorate;United-States;Federal-gov;Prof-specialty;>50K
nicoleward@gmail.com;Male;57;White;Married-civ-spouse;Assoc-voc;United-States;Private;Prof-specialty;<=50K
randerson@hotmail.com;Female;37;White;Divorced;Some-college;United-States;Private;Craft-repair;<=50K
dunnryan@cameron.biz;Female;28;Black;Divorced;Some-college;United-States;Private;Machine-op-inspct;<=50K
vchristensen@gmail.com;Male;34;White;Married-civ-spouse;Bachelors;United-States;Local-gov;Protective-serv;>50K
qmiller@herring.org;Male;29;White;Never-married;Some-college;United-States;Local-gov;Handlers-cleaners;<=50K
mataanthony@newman-johnson.com;Male;48;White;Married-civ-spouse;Doctorate;United-States;Self-emp-not-inc;Prof-specialty;>50K
warnersheri@hotmail.com;Male;37;White;Married-civ-spouse;Some-college;United-States;Private;Sales;>50K
agarza@white.biz;Female;48;White;Divorced;Assoc-acdm;England;Private;Exec-managerial;<=50K
ycastro@yahoo.com;Male;32;Black;Never-married;HS-grad;United-States;Federal-gov;Other-service;<=50K
mckinneykeith@gmail.com;Male;76;White;Married-civ-spouse;Masters;United-States;Private;Exec-managerial;>50K
nthomas@arnold.net;Male;44;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
randywilliams@simmons-perez.com;Female;47;White;Never-married;Masters;United-States;Self-emp-not-inc;Prof-specialty;<=50K
matthewalvarado@hotmail.com;Female;20;White;Never-married;Some-college;United-States;Private;Tech-support;<=50K
elizabeth96@andrade.info;Male;29;White;Never-married;HS-grad;United-States;Private;Craft-repair;<=50K
dylandavidson@ramos.info;Male;32;White;Married-civ-spouse;HS-grad;United-States;Self-emp-inc;Craft-repair;>50K
pballard@rocha.net;Male;30;White;Never-married;11th;United-States;Private;Handlers-cleaners;<=50K
ywatkins@hotmail.com;Female;31;White;Never-married;HS-grad;United-States;Local-gov;Adm-clerical;<=50K
lbutler@sutton.net;Male;42;White;Married-civ-spouse;HS-grad;United-States;Private;Handlers-cleaners;<=50K
thicks@willis.info;Male;24;White;Never-married;Bachelors;United-States;Private;Sales;<=50K
ashleylauren@gmail.com;Male;38;White;Married-civ-spouse;Prof-school;United-States;Private;Prof-specialty;>50K
jamie37@bell.org;Male;56;White;Married-civ-spouse;HS-grad;Canada;Self-emp-not-inc;Other-service;>50K
josephholmes@yahoo.com;Female;28;White;Married-civ-spouse;Some-college;United-States;Private;Sales;<=50K
margaret63@simpson-duncan.biz;Female;36;White;Never-married;HS-grad;United-States;Private;Machine-op-inspct;<=50K
davisalejandra@singh-miller.com;Male;53;White;Married-civ-spouse;9th;United-States;Private;Handlers-cleaners;<=50K
derrickrogers@yahoo.com;Male;56;White;Married-civ-spouse;Some-college;United-States;Self-emp-inc;Sales;<=50K
bguerrero@moore.com;Male;49;Black;Married-civ-spouse;Assoc-voc;United-States;Local-gov;Craft-repair;>50K
hernandezcheryl@gmail.com;Male;55;White;Married-civ-spouse;Some-college;United-States;Private;Sales;<=50K
kimgomez@gardner.info;Male;22;White;Never-married;HS-grad;United-States;Private;Craft-repair;<=50K
caleb23@wallace-brown.biz;Female;21;White;Never-married;Some-college;United-States;Private;Other-service;<=50K
jacksonmelanie@gmail.com;Male;40;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;<=50K
jenniferrodriguez@jones.com;Male;30;Black;Never-married;Bachelors;Germany;Private;Exec-managerial;<=50K
tina67@gmail.com;Male;29;White;Married-civ-spouse;Bachelors;United-States;State-gov;Prof-specialty;>50K
zjenkins@hotmail.com;Male;19;Black;Never-married;Some-college;United-States;Private;Other-service;<=50K
cgreen@hotmail.com;Female;47;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
karen56@gmail.com;Female;20;White;Never-married;Some-college;United-States;Private;Adm-clerical;<=50K
eddie45@rich-davis.biz;Male;31;White;Married-civ-spouse;Assoc-acdm;United-States;Private;Adm-clerical;>50K
mccannjason@hotmail.com;Male;39;White;Divorced;Some-college;United-States;Private;Craft-repair;<=50K
pwilcox@hotmail.com;Female;28;White;Never-married;Assoc-acdm;United-States;Private;Sales;<=50K
michael96@gmail.com;Female;24;White;Never-married;HS-grad;United-States;Private;Other-service;<=50K
lee08@jenkins.com;Male;38;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Craft-repair;<=50K
johnsashley@yahoo.com;Male;37;White;Married-civ-spouse;Bachelors;United-States;Private;Sales;<=50K
sarah30@hotmail.com;Female;46;Black;Divorced;Assoc-acdm;United-States;Private;Tech-support;<=50K
garciakeith@miranda.info;Male;38;White;Married-civ-spouse;Masters;Iran;Federal-gov;Prof-specialty;>50K
rpark@hotmail.com;Male;43;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Craft-repair;<=50K
wsanchez@hotmail.com;Female;27;White;Married-civ-spouse;Assoc-voc;United-States;Private;Adm-clerical;<=50K
gutierrezdylan@zimmerman-williams.com;Male;20;White;Never-married;Some-college;United-States;Private;Sales;<=50K
erikagibson@flores-harvey.com;Male;49;Asian-Pac-Islander;Married-civ-spouse;Some-college;United-States;Private;Craft-repair;>50K
tracy17@gmail.com;Male;61;White;Married-civ-spouse;HS-grad;United-States;Self-emp-inc;Craft-repair;<=50K
iperry@yahoo.com;Female;27;White;Never-married;Some-college;United-States;Private;Sales;<=50K
hendersonchristopher@garcia.info;Male;19;White;Never-married;Some-college;Mexico;Private;Other-service;<=50K
jonathanallen@lawson.com;Female;45;White;Never-married;Assoc-voc;United-States;Private;Prof-specialty;>50K
michelledavis@gmail.com;Male;70;White;Never-married;Some-college;United-States;Private;Tech-support;<=50K
sarahcurry@gmail.com;Female;31;Black;Never-married;HS-grad;United-States;Private;Transport-moving;<=50K
gonzalessara@perez-gibbs.com;Male;22;White;Married-civ-spouse;Some-college;United-States;Private;Other-service;<=50K
dean09@blevins-myers.com;Female;36;White;Widowed;HS-grad;United-States;Private;Other-service;<=50K
janice85@mcmillan-gonzalez.com;Male;64;White;Married-civ-spouse;11th;United-States;Private;Craft-repair;<=50K
iwhite@yahoo.com;Female;47;White;Divorced;Some-college;Mexico;Local-gov;Adm-clerical;<=50K
davisabigail@gmail.com;Female;34;White;Never-married;HS-grad;United-States;Private;Adm-clerical;<=50K
jillblack@peterson.com;Female;33;Asian-Pac-Islander;Never-married;Bachelors;Philippines;Private;Exec-managerial;<=50K
richardwilliams@gmail.com;Male;21;White;Never-married;HS-grad;United-States;Private;Craft-repair;<=50K
lee80@hampton.biz;Male;48;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
hughesjudith@knapp-griffin.info;Male;23;White;Never-married;Bachelors;United-States;Private;Handlers-cleaners;<=50K
marchouse@gmail.com;Male;71;Black;Separated;Some-college;United-States;Self-emp-not-inc;Sales;<=50K
jasminejohnson@hotmail.com;Male;29;White;Divorced;HS-grad;United-States;Private;Craft-repair;<=50K
dana44@davis.info;Male;42;Black;Separated;Bachelors;United-States;Private;Other-service;<=50K
kristadunn@butler.com;Female;25;White;Never-married;HS-grad;United-States;Private;Other-service;<=50K
monica93@robinson-ross.info;Female;44;Asian-Pac-Islander;Divorced;Masters;United-States;Self-emp-inc;Exec-managerial;<=50K
jasminehammond@yahoo.com;Female;28;Asian-Pac-Islander;Never-married;HS-grad;England;Private;Exec-managerial;<=50K
sarahfox@carlson-simon.com;Male;45;White;Married-civ-spouse;Masters;United-States;Self-emp-not-inc;Sales;>50K
icain@yahoo.com;Female;36;White;Divorced;Some-college;Mexico;Private;Other-service;<=50K
annajoyce@hotmail.com;Male;39;White;Never-married;Assoc-acdm;United-States;Federal-gov;Exec-managerial;<=50K
claudialewis@gmail.com;Male;46;White;Widowed;Masters;United-States;State-gov;Protective-serv;<=50K
amy66@grant.info;Male;18;White;Never-married;11th;United-States;Private;Handlers-cleaners;<=50K
nathanielmoore@ramos.biz;Female;66;White;Widowed;Assoc-voc;United-States;Local-gov;Prof-specialty;<=50K
jill99@rhodes.org;Male;27;White;Never-married;HS-grad;United-States;Private;Other-service;<=50K
evelynmiller@stark-castillo.com;Male;28;White;Married-civ-spouse;HS-grad;United-States;State-gov;Protective-serv;<=50K
uhudson@hubbard.info;Male;51;White;Married-civ-spouse;Some-college;United-States;Private;Sales;>50K
smithbryan@butler-mcpherson.biz;Male;27;White;Never-married;Bachelors;United-States;Private;Craft-repair;<=50K
iproctor@gmail.com;Male;28;White;Married-civ-spouse;Bachelors;United-States;State-gov;Prof-specialty;>50K
mark26@montgomery.com;Female;27;White;Married-spouse-absent;HS-grad;United-States;Private;Sales;<=50K
rossbrandon@freeman.net;Male;21;Black;Never-married;HS-grad;United-States;Private;Craft-repair;<=50K
smithdaniel@hotmail.com;Male;34;Black;Never-married;HS-grad;United-States;Private;Handlers-cleaners;<=50K
holly28@gmail.com;Male;18;White;Never-married;HS-grad;United-States;Private;Other-service;<=50K
derek04@hotmail.com;Male;33;White;Married-civ-spouse;Bachelors;United-States;Private;Prof-specialty;<=50K
matthewkelley@yahoo.com;Male;44;Black;Married-civ-spouse;Some-college;United-States;Local-gov;Exec-managerial;>50K
zunigasherry@edwards-costa.info;Female;43;White;Divorced;Some-college;United-States;Private;Adm-clerical;<=50K
anncox@gmail.com;Male;30;Black;Never-married;Some-college;United-States;Private;Craft-repair;<=50K
kimsmith@hammond.biz;Male;40;White;Married-civ-spouse;7th-8th;Mexico;Private;Machine-op-inspct;>50K
williamsholly@stevens-hernandez.com;Male;37;White;Married-civ-spouse;Some-college;United-States;Federal-gov;Adm-clerical;>50K
lewisthomas@hotmail.com;Male;34;Black;Married-civ-spouse;HS-grad;United-States;Private;Adm-clerical;<=50K
kstevens@yahoo.com;Female;41;White;Divorced;Bachelors;United-States;Self-emp-not-inc;Exec-managerial;<=50K
michellegraham@gmail.com;Female;31;White;Married-civ-spouse;Masters;United-States;Private;Prof-specialty;<=50K
andersonstephen@burnett.biz;Male;58;White;Married-civ-spouse;Doctorate;United-States;State-gov;Prof-specialty;>50K
brandonnichols@anderson.com;Female;38;Black;Divorced;Some-college;United-States;Private;Machine-op-inspct;<=50K
ncastillo@hanna-lewis.biz;Male;24;White;Married-civ-spouse;Some-college;United-States;Private;Machine-op-inspct;<=50K
eric82@roberts-martin.com;Male;41;Black;Married-civ-spouse;Bachelors;United-States;Local-gov;Craft-repair;<=50K
jennynelson@burns.com;Male;47;White;Married-civ-spouse;Some-college;United-States;Private;Tech-support;<=50K
gary64@hotmail.com;Male;41;White;Married-civ-spouse;Bachelors;United-States;Federal-gov;Tech-support;<=50K
joneselizabeth@yahoo.com;Male;23;White;Married-civ-spouse;5th-6th;Mexico;Private;Transport-moving;<=50K
pinedacasey@harper.com;Male;36;White;Divorced;Some-college;United-States;Private;Craft-repair;<=50K
xmartin@cunningham.com;Female;40;White;Never-married;Masters;United-States;Federal-gov;Exec-managerial;>50K
sjenkins@hawkins-cortez.net;Male;35;White;Married-civ-spouse;Masters;United-States;Private;Prof-specialty;>50K
calebhernandez@bryant.com;Male;24;White;Never-married;HS-grad;United-States;Self-emp-not-inc;Sales;<=50K
wbaker@herman.com;Female;26;White;Never-married;Masters;United-States;Private;Prof-specialty;<=50K
rick74@taylor-lawson.biz;Male;51;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
ksmith@richards.com;Female;42;White;Never-married;Some-college;United-States;Local-gov;Prof-specialty;<=50K
brian97@johnson-lynch.com;Female;37;White;Divorced;HS-grad;United-States;State-gov;Adm-clerical;<=50K
matthew52@campbell.com;Female;18;White;Never-married;11th;United-States;Private;Sales;<=50K
garrettsamuel@gmail.com;Male;36;Black;Married-civ-spouse;Bachelors;United-States;Private;Other-service;>50K
adamthomas@garcia-nguyen.com;Male;35;White;Divorced;HS-grad;United-States;Private;Craft-repair;<=50K
tarawells@knight-moore.com;Female;58;White;Married-civ-spouse;HS-grad;United-States;Self-emp-inc;Sales;>50K
emily59@yahoo.com;Female;17;White;Never-married;11th;United-States;Private;Sales;<=50K
lukemullins@lee.com;Male;44;Black;Married-civ-spouse;HS-grad;United-States;Local-gov;Transport-moving;<=50K
wagnerjeremy@reyes-dickerson.biz;Male;37;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;>50K
martinezlogan@murray.com;Female;35;Amer-Indian-Eskimo;Never-married;Some-college;United-States;Private;Sales;<=50K
beanbianca@walter-hunt.net;Male;60;Asian-Pac-Islander;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
rcrawford@williams.com;Male;54;White;Married-civ-spouse;7th-8th;United-States;Self-emp-inc;Machine-op-inspct;>50K
eric72@gmail.com;Male;37;Black;Never-married;Bachelors;United-States;Private;Exec-managerial;>50K
ibryan@powell-norris.com;Female;50;White;Divorced;Assoc-acdm;United-States;Private;Sales;<=50K
william64@hotmail.com;Male;38;White;Married-civ-spouse;Bachelors;Poland;Private;Sales;<=50K
paula31@yahoo.com;Male;45;White;Married-civ-spouse;Bachelors;United-States;Private;Prof-specialty;<=50K
wmack@snyder.com;Male;25;White;Never-married;10th;United-States;Private;Craft-repair;<=50K
julie54@farley.org;Male;31;White;Married-civ-spouse;Some-college;United-States;Private;Handlers-cleaners;<=50K
zburns@hotmail.com;Male;90;Black;Never-married;HS-grad;United-States;Private;Other-service;<=50K
cathy47@washington.com;Male;54;Black;Married-civ-spouse;HS-grad;United-States;Private;Adm-clerical;<=50K
ewest@yahoo.com;Female;53;White;Never-married;Preschool;United-States;Local-gov;Machine-op-inspct;<=50K
jamesdavis@watts.com;Female;18;White;Never-married;HS-grad;United-States;Private;Sales;<=50K
william56@walker.com;Male;66;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Farming-fishing;<=50K
stokesjohn@hotmail.com;Female;75;White;Widowed;Assoc-voc;Columbia;Private;Adm-clerical;<=50K
ashlee39@hotmail.com;Female;65;White;Divorced;HS-grad;United-States;Private;Adm-clerical;<=50K
smithdavid@keller-smith.com;Male;35;Black;Separated;11th;United-States;Private;Transport-moving;<=50K
smcmahon@gmail.com;Female;41;Black;Divorced;HS-grad;United-States;Private;Sales;<=50K
lisa46@yahoo.com;Male;25;White;Never-married;Some-college;United-States;Private;Adm-clerical;<=50K
thomasolson@griffin.com;Female;33;Other;Divorced;Some-college;United-States;Private;Craft-repair;<=50K
rclay@garcia.com;Male;28;White;Never-married;Prof-school;United-States;Private;Prof-specialty;>50K
thomaswilliams@gmail.com;Male;59;White;Married-civ-spouse;HS-grad;United-States;State-gov;Other-service;<=50K
bobbysmith@greer-adams.com;Female;40;White;Never-married;Some-college;United-States;State-gov;Adm-clerical;<=50K
lopezjames@hurst.com;Male;41;White;Married-civ-spouse;Bachelors;Iran;Private;Exec-managerial;>50K
stephen57@gmail.com;Male;38;White;Married-civ-spouse;Masters;United-States;Local-gov;Exec-managerial;>50K
jallen@mccann.net;Male;23;White;Never-married;HS-grad;United-States;Private;Transport-moving;<=50K
qwilliams@hotmail.com;Male;40;White;Married-civ-spouse;Bachelors;United-States;Private;Prof-specialty;>50K
crojas@miller.com;Female;41;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Other-service;<=50K
boothbrandon@yahoo.com;Male;24;White;Married-civ-spouse;Assoc-acdm;United-States;State-gov;Protective-serv;<=50K
walkershawn@yahoo.com;Male;38;White;Divorced;Some-college;United-States;Private;Craft-repair;<=50K
dennis07@gmail.com;Male;58;White;Married-civ-spouse;HS-grad;United-States;Private;Adm-clerical;>50K
tmoran@yahoo.com;Female;32;White;Never-married;HS-grad;United-States;Private;Other-service;<=50K
cwilliams@lopez.com;Male;40;White;Married-civ-spouse;Assoc-acdm;United-States;Private;Tech-support;>50K
heathertyler@yahoo.com;Female;41;White;Married-civ-spouse;Prof-school;United-States;Private;Prof-specialty;>50K
jason21@richards-valenzuela.org;Female;42;Black;Married-civ-spouse;Bachelors;United-States;Private;Adm-clerical;<=50K
pjones@yahoo.com;Female;59;Black;Widowed;10th;United-States;Local-gov;Other-service;<=50K
rachellindsey@yahoo.com;Male;19;White;Never-married;Some-college;United-States;Local-gov;Adm-clerical;<=50K
wongstephen@sanchez-holmes.com;Male;58;White;Never-married;Some-college;United-States;Private;Transport-moving;<=50K
sandersjames@wall.com;Male;42;Asian-Pac-Islander;Married-civ-spouse;HS-grad;Cambodia;Self-emp-not-inc;Farming-fishing;>50K
caseyshannon@hernandez-johnson.org;Female;20;White;Never-married;HS-grad;United-States;Private;Other-service;<=50K
mercerjohn@hotmail.com;Female;32;White;Separated;HS-grad;United-States;Private;Other-service;<=50K
morganjames@brown-macias.com;Female;45;White;Widowed;Assoc-voc;United-States;Private;Exec-managerial;<=50K
richardsonanthony@mclean-le.com;Male;50;White;Divorced;7th-8th;United-States;Private;Craft-repair;<=50K
maustin@harris.biz;Female;36;White;Divorced;Bachelors;United-States;Private;Prof-specialty;<=50K
peterparker@hotmail.com;Male;45;White;Married-civ-spouse;HS-grad;United-States;Private;Sales;<=50K
tylerross@gmail.com;Male;17;White;Never-married;11th;United-States;Private;Other-service;<=50K
andrew74@wood.com;Male;59;White;Married-civ-spouse;Some-college;United-States;Private;Sales;<=50K
heathersparks@cunningham-chandler.com;Male;26;White;Married-civ-spouse;11th;United-States;Private;Craft-repair;<=50K
sherrimcknight@gutierrez.net;Male;37;Asian-Pac-Islander;Married-civ-spouse;Some-college;Thailand;Self-emp-inc;Exec-managerial;>50K
hughesrachel@gmail.com;Male;64;White;Married-civ-spouse;HS-grad;United-States;Private;Exec-managerial;>50K
tonya87@robertson.com;Female;33;White;Never-married;Bachelors;United-States;Private;Prof-specialty;<=50K
gjohnson@hotmail.com;Female;33;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;>50K
bmcguire@hughes.com;Male;61;White;Married-civ-spouse;HS-grad;United-States;Private;Exec-managerial;>50K
cwashington@grant.com;Male;17;White;Never-married;9th;United-States;Private;Other-service;<=50K
matthewnelson@mitchell.com;Male;50;White;Married-civ-spouse;Masters;United-States;Self-emp-not-inc;Farming-fishing;<=50K
melissaharmon@hotmail.com;Male;27;White;Never-married;Masters;United-States;Local-gov;Prof-specialty;<=50K
esmith@gmail.com;Female;30;White;Divorced;HS-grad;United-States;Private;Prof-specialty;<=50K
patrickyoung@yahoo.com;Male;43;Black;Married-civ-spouse;HS-grad;United-States;Private;Handlers-cleaners;<=50K
sanchezanthony@bradford-salazar.com;Male;44;White;Married-civ-spouse;Some-college;United-States;Private;Craft-repair;>50K
grocha@gmail.com;Female;35;White;Never-married;Some-college;United-States;Private;Exec-managerial;<=50K
dana74@yahoo.com;Female;25;White;Never-married;Some-college;United-States;Private;Tech-support;<=50K
yphillips@gmail.com;Female;24;White;Married-civ-spouse;Some-college;United-States;Private;Machine-op-inspct;>50K
hhoward@hotmail.com;Female;22;White;Never-married;Bachelors;Germany;Private;Prof-specialty;<=50K
